Date,"m=3, W=252","m=3, W=504","m=4, W=252","m=4, W=504"
1954-07-12,0.9913400650342862,0.9894764556839308,0.9767476814700998,0.9771967703076142
1954-07-13,0.9903472905361103,0.9889993359206236,0.976001257323174,0.977301909959069
1954-07-14,0.9901661713656938,0.9893171761963299,0.976649986361278,0.97761658866109
1954-07-15,0.9901661713656938,0.9890463200617382,0.9765522912524564,0.976924891438236
1954-07-16,0.9901058277340529,0.9890761685887967,0.9762520105485016,0.9765548718134398
1954-07-19,0.9902869469044693,0.9890463200617382,0.9767948850223137,0.9767097893411085
1954-07-20,0.9902869469044693,0.9895679173815641,0.9771892149576785,0.9774340137736639
1954-07-21,0.990105827734053,0.9901263436146949,0.9767070580559747,0.9777829468150568
1954-07-22,0.990105827734053,0.9898124315760051,0.9761702100927544,0.9773583948962046
1954-07-23,0.9903265066346886,0.9897667350800895,0.9761702100927544,0.9770954259373356
1954-07-26,0.9893546475857224,0.9891924258187444,0.9761702100927544,0.9770721126070977
1954-07-27,0.9902692582450736,0.9895222208856487,0.9767576208490832,0.9771621854209708
1954-07-28,0.9904456055359719,0.9895679173815642,0.9774357361256613,0.9774551331423923
1954-07-29,0.9907942451908283,0.9895679173815642,0.9785651404053972,0.9777914783195749
1954-07-30,0.9907942451908283,0.9895679173815642,0.9779164113672929,0.9774699634559771
1954-08-02,0.9909073104582046,0.9898085188244486,0.9776738175974354,0.9774699634559771
1954-08-03,0.9899354514092382,0.989301945937011,0.9776738175974354,0.9772625868153154
1954-08-04,0.9910264093594878,0.989301945937011,0.9776738175974354,0.9766055571748626
1954-08-05,0.9919604285880215,0.9893019459370109,0.9785044228332886,0.9768855039857856
1954-08-06,0.9910264093594878,0.9888007752165782,0.9778263075567108,0.976480428505435
1954-08-09,0.990966065727847,0.9887402546259922,0.9773595937725431,0.9758059156173039
1954-08-10,0.9917870196890041,0.9884224143502861,0.9776889744800704,0.9751328769785818
1954-08-11,0.9925150261378577,0.9881085023115963,0.9782318489538826,0.9752765490739106
1954-08-12,0.9923990224786005,0.9886244971266994,0.9780104911517651,0.9756146158063467
1954-08-13,0.9924562708682154,0.9891016168900065,0.9788476198189401,0.9760091818835552
1954-08-16,0.9930919512335091,0.9888666861723101,0.9802426339477832,0.9765362704423695
1954-08-17,0.993034702843894,0.9891162459194665,0.979923581036844,0.9765362704423695
1954-08-18,0.9919972244075486,0.9886244971266992,0.9796293268434813,0.9765362704423692
1954-08-19,0.9928535836734776,0.9891016168900065,0.9788435601483743,0.9761417043651609
1954-08-20,0.9929156039426108,0.9890696206287595,0.9791626130593133,0.9764550708807278
