src,tgt,n,ete_dir,p_dir,ete_mag,p_mag,sig_dir,sig_mag,diff
XLK,XLP,6796,0.00046946897700141235,0.03996003996003996,0.005725277939352742,0.000999000999000999,False,True,0.0052558089623513295
XLK,XLRE,2571,0.00035159450345016805,0.15584415584415584,0.009068256457557447,0.000999000999000999,False,True,0.00871666195410728
XLK,XLU,6796,0.0003311295404284316,0.07192807192807193,0.0028981137815615875,0.000999000999000999,False,True,0.002566984241133156
XLK,XLV,6796,2.93282947358983e-05,0.3126873126873127,0.003072181651299128,0.000999000999000999,False,True,0.0030428533565632298
XLK,XLY,6796,-0.00010681964588084403,0.5374625374625375,0.00403901541860055,0.000999000999000999,False,True,0.004145835064481394
XLP,XLB,6796,-0.00015423754967928033,0.7712287712287712,0.0017055712670051002,0.000999000999000999,False,True,0.0018598088166843806
XLP,XLC,1893,-0.00039565809815910553,0.6453546453546454,0.001827970669112681,0.03596403596403597,False,True,0.0022236287672717865
XLP,XLE,6796,0.00026386886816643853,0.11688311688311688,0.00180234409398565,0.000999000999000999,False,True,0.0015384752258192115
XLP,XLF,6796,-0.00012245344010850404,0.6563436563436563,0.0036200163299963187,0.000999000999000999,False,True,0.003742469770104823
XLP,XLI,6796,-0.00014848560265029345,0.7002997002997003,0.002033853804796857,0.000999000999000999,False,True,0.002182339407447151
XLP,XLK,6796,0.00023029614783389777,0.11688311688311688,0.0021377072988145026,0.000999000999000999,False,True,0.0019074111509806049
XLP,XLRE,2571,0.0011188180161317094,0.04595404595404595,-0.00039637942738708577,0.7322677322677322,False,False,-0.0015151974435187953
XLP,XLU,6796,-2.824190293249302e-05,0.42357642357642356,0.001004411857085631,0.005994005994005994,False,True,0.001032653760018124
XLP,XLV,6796,-0.00014320477836954085,0.6973026973026973,0.00139753265867175,0.000999000999000999,False,True,0.0015407374370412907
XLP,XLY,6796,0.0001965409666244617,0.1838161838161838,0.0024941112263770814,0.000999000999000999,False,True,0.0022975702597526197
XLRE,XLB,2571,-0.00028760182367658957,0.5964035964035964,0.0021749742875940884,0.00999000999000999,False,True,0.0024625761112706777
XLRE,XLC,1893,-0.0005021085241653215,0.6133866133866134,0.0029935445365929297,0.011988011988011988,False,True,0.0034956530607582513
XLRE,XLE,2571,2.442544452103371e-05,0.24775224775224775,0.004700129534489038,0.000999000999000999,False,True,0.0046757040899680045
XLRE,XLF,2571,-0.000403987415083083,0.8541458541458542,0.0022473326809439127,0.011988011988011988,False,True,0.002651320096026996
XLRE,XLI,2571,-0.000508338080768297,0.916083916083916,0.005835127555949483,0.000999000999000999,False,True,0.0063434656367177805
XLRE,XLK,2571,-9.01834354569142e-06,0.37662337662337664,0.002761710194994751,0.004995004995004995,False,True,0.0027707285385404424
XLRE,XLP,2571,0.00019901639241815385,0.2727272727272727,0.001439688706303794,0.03196803196803197,False,True,0.00124067231388564
XLRE,XLU,2571,-0.00022367583554609434,0.5614385614385614,0.0016610013669962598,0.023976023976023976,False,True,0.0018846772025423542
XLRE,XLV,2571,-0.00043896782095733094,0.7242757242757243,0.001367773105666339,0.03996003996003996,False,True,0.00180674092662367
XLRE,XLY,2571,-0.00030937933128676097,0.5774225774225774,0.001962171863277375,0.011988011988011988,False,True,0.0022715511945641358
XLU,XLB,6796,0.0002693920387442877,0.11988011988011989,0.00276838852381431,0.000999000999000999,False,True,0.0024989964850700226
XLU,XLC,1893,-0.0002451414556991563,0.4875124875124875,0.0024525313813184373,0.01998001998001998,False,True,0.0026976728370175936
XLU,XLE,6796,-0.00022684549052309793,0.978021978021978,0.0030568491197657563,0.000999000999000999,False,True,0.0032836946102888544
XLU,XLF,6796,-9.839707208545665e-05,0.48951048951048953,0.004275645201878394,0.000999000999000999,False,True,0.004374042273963851
XLU,XLI,6796,-0.00010505693088584374,0.6183816183816184,0.0018306722230105796,0.000999000999000999,False,True,0.0019357291538964233
XLU,XLK,6796,-3.423702271600031e-05,0.4125874125874126,0.00373727160570374,0.000999000999000999,False,True,0.0037715086284197405
