asset,window_size,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
XLF,200,2001-06-27,0.035,-0.001249270474101465,False,199,3
XLF,200,2001-08-27,0.01,5.068152466366313e-05,False,199,5
XLF,200,2001-10-31,0.04,-0.009622197150626548,False,199,5
XLF,200,2002-01-02,0.025,-0.003976290840184581,False,199,4
XLF,200,2002-03-05,0.095,0.01709973613822271,False,199,4
XLF,200,2002-05-03,0.31,-0.06836444950855848,False,199,3
XLF,200,2002-07-03,0.04,-0.00837076951205503,False,199,4
XLF,200,2002-09-03,0.015,-0.0024647982383520623,False,199,2
XLF,200,2002-10-31,0.005,-0.0008362030377194484,False,199,2
XLF,200,2003-01-02,0.0,0.0,False,199,1
XLF,200,2003-03-05,0.005,-0.0007087218727710601,False,199,3
XLF,200,2003-05-05,0.03,-0.0038852533964505876,False,199,3
XLF,200,2003-07-03,0.025,-0.0037125617663532717,False,199,3
XLF,200,2003-09-03,0.04,-0.007356341711438108,False,199,5
XLF,200,2003-10-31,0.0,0.0,False,199,4
XLF,200,2004-01-02,0.0,0.0,False,199,2
XLF,200,2004-03-04,0.015,0.0019589266954996533,False,199,4
XLF,200,2004-05-04,0.0,0.0,False,199,5
XLF,200,2004-07-06,0.0,0.0,False,199,3
XLF,200,2004-09-02,0.0,0.0,False,199,4
XLF,200,2004-11-02,0.0,0.0,False,199,3
XLF,200,2005-01-03,0.185,0.0688624692427347,False,199,4
XLF,200,2005-03-04,0.0,0.0,False,199,4
XLF,200,2005-05-04,0.075,-0.014017968278953803,False,199,2
XLF,200,2005-07-05,0.06,-0.012664690428610863,False,199,4
XLF,200,2005-09-01,0.01,-0.0017544616528069872,False,199,4
XLF,200,2005-11-01,0.005,-0.0010606451222782518,False,199,5
XLF,200,2006-01-03,0.005,-0.0007545562431245578,False,199,3
XLF,200,2006-03-06,0.0,0.0,False,199,2
XLF,200,2006-05-04,0.005,0.0009734917164888156,False,199,4
XLF,200,2006-07-05,0.005,0.0011745880633527875,False,199,2
XLF,200,2006-09-01,0.005,0.0009763958645101005,False,199,5
XLF,200,2006-11-01,0.0,0.0,False,199,5
