peak_date,trough_date,drawdown,duration,delta_pe,pe_pre_peak,vol_pre_peak,decade,type
1952-08-08,1952-10-22,-0.06849315273018115,75,0.03139580587805779,0.9720350158387847,0.0033968595123910084,1950,pullback
1953-01-05,1953-09-14,-0.14816206997551354,252,0.008808259579425992,0.9559179665447165,0.0052142087911309165,1950,pullback
1955-11-14,1956-01-23,-0.07110534901767641,70,0.03438413031513876,0.969503618591692,0.013323856598052398,1950,pullback
1956-03-20,1956-05-28,-0.09760590468627021,69,0.05090821162896908,0.9875035839641559,0.007108163857307531,1950,pullback
1956-08-02,1957-02-12,-0.14605157310924266,194,0.10471122978458314,0.9861716670592666,0.007545770488123349,1950,pullback
1957-08-05,1957-10-22,-0.17520099605090836,78,0.04124724901577104,0.9771348257862232,0.004855676835580658,1950,crash
1959-08-03,1960-03-08,-0.11925544346814612,218,0.06393826600296093,0.9721485022600814,0.005206228378206855,1950,pullback
1960-08-24,1960-10-25,-0.10108487967510629,62,-0.0029171388033449874,0.9687898937752739,0.0056949857232672365,1960,pullback
1961-12-12,1962-06-26,-0.2797356809686306,196,-9.85805395518069e-05,0.9455546659048394,0.005626293157409252,1960,crash
1965-05-13,1965-06-28,-0.0960451810276128,46,-0.02353920384580266,0.9407475556625826,0.00262591073615784,1960,pullback
1966-02-09,1966-10-07,-0.22177334841367638,240,0.06196145990621005,0.9812428015104067,0.003442109457297517,1960,crash
1967-09-25,1968-03-05,-0.1011373653813259,162,0.013645649897220169,0.9813029865170004,0.00370585874138913,1960,pullback
1968-11-29,1969-07-29,-0.17431022340953317,242,0.006516086494298801,0.973765817553259,0.003391652945840627,1960,crash
1970-01-05,1970-05-26,-0.2586132934486717,141,0.019606606133007798,0.978347091385283,0.006337060399731389,1970,crash
1971-04-28,1971-11-23,-0.13944825283072976,209,-0.007016927612220725,0.952613656156927,0.004260305427256304,1970,pullback
1972-08-14,1972-10-16,-0.05135500890242876,63,0.027362952193794143,0.9806068409781528,0.005010281136842259,1970,pullback
1973-01-11,1973-12-05,-0.23353289005771982,328,0.040502874003473854,0.9754571338539286,0.005166393989149937,1970,crash
1974-03-13,1974-10-03,-0.37557649776208757,204,0.025773157483628184,0.9760466263474282,0.011665847508746514,1970,crash
1975-07-15,1975-09-16,-0.14140784631474154,63,0.02669381891018341,0.9795526355091113,0.008356222536335957,1970,pullback
1976-09-21,1977-09-21,-0.11805622870041901,365,0.047368431583995285,0.9909982873143222,0.005652363148415214,1970,pullback
1977-10-03,1978-03-06,-0.10171590402294023,154,0.034667758024583106,0.9930740631783936,0.005176966562253559,1970,pullback
1978-09-12,1978-11-14,-0.13552668744290344,63,0.05017899996567432,0.9587328500260895,0.006340445854211869,1970,pullback
1979-10-05,1979-11-07,-0.10245343974488873,33,-0.017002820762617388,0.9522155098120842,0.0060832391700674695,1970,pullback
1980-02-13,1980-03-27,-0.1707193583578843,43,0.007405752726680981,0.9523655049778459,0.007361077270828046,1980,crash
1980-11-28,1981-09-25,-0.1974808339429646,301,0.006977089968722816,0.968022614500183,0.010546370558365586,1980,crash
1981-11-30,1982-08-12,-0.1893945436815902,255,0.0657156520289599,0.9838053052141399,0.01002877921466749,1980,crash
1983-06-22,1983-08-08,-0.069068439312115,47,0.04415953200920375,0.9837123272496512,0.007469880405463852,1980,pullback
1983-10-10,1984-07-24,-0.14381689805997283,288,0.009880497508904296,0.9385651848397613,0.00862021393288569,1980,pullback
1984-11-06,1984-12-13,-0.050466556649853736,37,0.039694161680103646,0.9749307724218481,0.007189636616082284,1980,pullback
1985-07-17,1985-09-25,-0.07661635932534704,70,0.06525063385444674,0.9907331955788193,0.005779287164964518,1980,pullback
1987-04-06,1987-05-20,-0.07862235400631758,44,-0.004089890983451916,0.9835014852479325,0.009168321302023828,1980,pullback
1987-08-25,1987-12-04,-0.33509515255572603,101,0.025034136038224686,0.9913869428298435,0.007000190814719484,1980,crash
1989-10-09,1990-01-30,-0.1023345693603166,113,0.013856512985702896,0.9883485904198085,0.006859447211175458,1980,pullback
1990-07-16,1990-10-11,-0.1991869313469902,87,0.031084405669138837,0.975249324497549,0.007881985857830164,1990,crash
1991-08-28,1991-10-09,-0.0500202352832555,42,0.01089279454537273,0.9778139927105315,0.008508383335469945,1990,pullback
1992-01-15,1992-04-08,-0.06243313377755726,84,0.010737555850932168,0.98585535109802,0.008919146143485015,1990,pullback
1994-02-02,1994-04-04,-0.08937756550262578,61,0.004493825339000779,0.9822271377500317,0.004041708671904735,1990,pullback
1996-05-24,1996-07-24,-0.07643215959257003,61,0.012268947377335082,0.9904852903806788,0.007861030841046253,1990,pullback
1997-02-18,1997-04-11,-0.09633825690635515,52,0.010020721452592807,0.9873610739753815,0.00827358766030682,1990,pullback
